level_0,index,title,edits,size,users
0,0,50_Cent,13066,518204129,4557
1,1,Adele,6725,456912673,2672
2,2,Angelina_Jolie,7336,531496219,2902
3,3,Backstreet_Boys,10270,412497115,4050
4,4,Ben_Affleck,9263,906521569,3655
5,5,Beyonce,20811,1664650611,6193
6,6,Bon_Jovi,8163,340280376,3611
7,7,Brad_Pitt,9281,440814602,3860
8,8,Britney_Spears,24640,1672042122,6896
9,9,Bruce_Springsteen,8601,725568158,4113
10,10,Bruce_Willis,7114,335309063,3711
11,11,Celine_Dion,8701,656289719,2992
12,12,Cher,12743,1357996811,4262
13,13,Coldplay,11398,474073802,4872
14,14,Cristiano_Ronaldo,16652,2351953387,4062
15,15,Dan_Brown,3382,69974678,1751
16,16,David_Beckham,10970,762301728,4299
17,17,Dr._Dre,7256,366775596,3321
18,18,Drake_(musician),7635,470016410,2215
19,19,Dwayne_Johnson,16097,1099137337,6727
20,20,Ed_Sheeran,3113,126437836,1032
21,21,Ellen_DeGeneres,4434,123920018,2291
22,22,Elton_John,6624,438271406,2957
23,23,Eminem,19899,1349990098,7247
24,24,Floyd_Mayweather_Jr.,7969,568141229,3126
25,25,Garth_Brooks,4160,204860847,2139
26,26,George_Clooney,7775,287600801,4117
27,27,George_Lucas,5192,137053332,2812
28,28,Harrison_Ford,5052,181233770,2601
29,29,Howard_Stern,8571,388249715,3608
30,30,J._K._Rowling,7959,447984051,3179
31,31,James_Cameron,5895,363803655,2893
32,32,James_Patterson,2543,42491856,1383
33,33,Jay-Z,8612,422507018,3659
34,34,Jennifer_Aniston,8824,304637848,3910
35,35,Jennifer_Lopez,13146,895809462,4686
36,36,Jerry_Seinfeld,5754,175813454,3238
37,37,Johnny_Depp,10001,351525245,4279
38,38,Judy_Sheindlin,2762,71940617,1168
39,39,Julia_Roberts,4921,158078845,2666
40,40,Justin_Bieber,8593,519671393,2891
41,41,Katy_Perry,9913,668241647,2521
42,42,Kevin_Hart,3678,65726980,1907
43,43,Kim_Kardashian,5945,166621559,2406
44,44,Kobe_Bryant,12553,759062922,3796
45,45,Kylie_Jenner,3056,54890480,1247
46,46,Lady_Gaga,14208,1336531888,3301
47,47,LeBron_James,14642,959357551,4820
48,48,Leonardo_DiCaprio,7654,310171396,3721
49,49,Lionel_Messi,16272,1977764924,4363
50,50,Madonna_(entertainer),17681,1688986968,4815
51,51,Manny_Pacquiao,8917,792271543,2833
52,52,Mariah_Carey,18571,1507159118,5079
53,53,Mel_Gibson,8668,499732085,3496
54,54,Michael_Jordan,12040,806496901,4257
55,55,NSYNC,6130,140421098,3246
56,56,One_Direction,5549,377044854,1255
57,57,Oprah_Winfrey,7931,506516221,3524
58,58,Paul_McCartney,17981,2059061790,4754
59,59,Paula_Deen,2563,45545123,1362
60,60,Phil_McGraw,2638,59374514,1438
61,61,Rihanna,15247,1020741998,3766
62,62,Robert_Downey_Jr.,5317,316969724,2666
63,63,Robin_Williams,8431,485636162,3486
64,64,Roger_Federer,24641,2545161596,8019
65,65,Rush_Limbaugh,8685,459953304,3119
66,66,Sandra_Bullock,5340,184830166,2676
67,67,Sean_Combs,10231,401228454,5081
68,68,Shaquille_O'Neal,9229,536074385,4298
69,69,Simon_Cowell,4710,115832240,2429
70,70,Spice_Girls,13214,810686107,5548
71,71,Steven_Spielberg,8998,710183475,4408
72,72,Taylor_Swift,11004,1446422153,2432
73,73,The_Beatles,23342,2055056731,6971
74,74,The_Police,4429,161046478,2049
75,75,The_Rolling_Stones,13963,1257215415,5494
76,76,The_Sopranos,7636,620578602,2998
77,77,The_Weeknd,7432,302984214,3400
78,78,Tiger_Woods,9026,795662553,3117
79,79,Tom_Cruise,7769,317297362,3604
80,80,Tom_Hanks,7846,304566393,3935
81,81,U2,14360,1040351902,5305
